prompt,id,question,annotations,ambiguous
Who sang the original do you love me?,-458049314494088060,Who sang the original do you love me?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who is the band that sang the original do you love me in 1962?',
              'Who is the singer that sang the original do you love me in for the Contours in 1962?',
              'Who are the characters that sang the original do you love me in the Fiddler on the Roof?',
              'Who are the singers that sang the original do you love me in the 1971 Fiddler on the Roof film?'],
             dtype=object), 'answer': array([array(['The Contours'], dtype=object),
              array(['Gordy', 'Billy Gordon', 'Gordon'], dtype=object),
              array(['Tevye', 'Golde', 'Tevye and his wife Golde'], dtype=object),
              array(['Haym Topol', 'Norma Crane', 'Topol', 'Crane',
                     'Chaim Topol and Norma Crane'], dtype=object) ],
             dtype=object)}                                                                                      ],
      dtype=object)}",True
Where was the movie lean on me filmed?,1531202197803799336,Where was the movie lean on me filmed?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['New Jersey', 'Franklin Lakes, New Jersey'], dtype=object),
       array(['Franklin Lakes, New Jersey', 'Franklin Lakes'], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Voice of alvin in alvin and the chipmunks?,506946202885615220,Voice of alvin in alvin and the chipmunks?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who played Alvin in the 2007 film Alvin and the Chipmunks?',
              'Who played singing alvin in the 2007 film Alvin and the Chipmunks?',
              'Who played alvin in the 1983 TV series Alvin and the Chipmunks?',
              'Who played Alvin in the 2015 TV series Alvin and the Chipmunks?',
              'Who played Alvin in the 2015 film Alvin and the Chipmunks: The Road Chip?',
              'Who played singing Alvin in the 2015 film Alvin and the Chipmunks: The Road Chip?',
              'Who played Alvin in the original band, Alvin and the Chipmunks?'],
             dtype=object), 'answer': array([array(['Justin Long'], dtype=object),
              array(['Ross Bagdasarian Jr.'], dtype=object),
              array(['Ross Bagdasarian, Jr.'], dtype=object),
              array(['Ross Bagdasarian Jr.'], dtype=object),
              array(['Justin Long'], dtype=object),
              array(['Ross Bagdasarian, Jr.'], dtype=object),
              array(['Ross Bagdasarian Sr.'], dtype=object)], dtype=object)}                      ],
      dtype=object)}",True
Who plays the science officer on star trek discovery?,8989950493209334434,Who plays the science officer on star trek discovery?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who plays the science officer on star trek discovery who is a chief engineer?',
              'Who plays the science officer on star trek discovery who is a Kelpien?',
              'Who plays science officer Michael Burnham on Star Trek Discovery?'],
             dtype=object), 'answer': array([array(['Anthony Rapp', 'Anthony Deane Rapp'], dtype=object),
              array(['Doug Jones'], dtype=object),
              array(['Sonequa Martin-Green'], dtype=object)], dtype=object)}                               ],
      dtype=object)}",True
According to mahabharata who constructed unparalleled palace of pandavas?,88189524028531485,According to mahabharata who constructed unparalleled palace of pandavas?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['Maya', 'Mayasura'], dtype=object),
       array(['Mayasura'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Lucifer how many episodes are in season 3?,5865574069485946442,Lucifer how many episodes are in season 3?,"{'type': array(['singleAnswer', 'multipleQAs'], dtype=object), 'answer': array([array(['26'], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array(['How many regular episodes were there in season 3 of Lucifer?',
              'How many episodes of season 3 of Lucifer were there, including bonus episodes?'],
             dtype=object), 'answer': array([array(['24'], dtype=object), array(['26'], dtype=object)],
             dtype=object)}                                                                            ],
      dtype=object)}",True
Who played tony in only fools and horses?,-7757809414567741478,Who played tony in only fools and horses?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who played tony angelino in only fools and horses?',
              'Who played tony driscoll in only fools and horses?'], dtype=object), 'answer': array([array(['Philip Pope', 'Philip R. J. Pope'], dtype=object),
              array(['Christopher Ryan', 'Christopher Papazoglou'], dtype=object)],
             dtype=object)}                                                                                                                                    ],
      dtype=object)}",True
Who presented gardeners world from 2008 to 2010?,-388980298258801319,Who presented gardeners world from 2008 to 2010?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['Toby Buckland'], dtype=object),
       array(['Toby Buckland', 'Toby Neale Buckland'], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Who wrote the original lyrics to pink cadillac?,-4272753945489602848,Who wrote the original lyrics to pink cadillac?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['Bruce Springsteen'], dtype=object),
       array(['Bruce Springsteen'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
What type of cell contributes to the blood-brain barrier in the central nervous system?,-3553537514837674455,What type of cell contributes to the blood-brain barrier in the central nervous system?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['What type of cell contributes to the blood-brain barrier in the central nervous system by restricting passage of substances?',
              'What type of cell contributes to the blood-brain barrier in the central nervous system by providing biochemical support to endothelial cells?'],
             dtype=object), 'answer': array([array(['endothelial cells', 'endothelial cell'], dtype=object),
              array(['Astrocyte cell'], dtype=object)], dtype=object)}                                                                                         ],
      dtype=object)}",True
Who made the song these boots are made for walking?,119349441803496022,Who made the song these boots are made for walking?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who wrote the song ""These Boots Are Made for Walkin\'""?',
              'Who sang the original song ""These Boots Are Made for Walkin\'""?',
              'Who produced the original song ""These Boots Are Made for Walkin\'""?'],
             dtype=object), 'answer': array([array(['Lee Hazlewood'], dtype=object),
              array(['Nancy Sinatra'], dtype=object),
              array(['Lee Hazlewood'], dtype=object)], dtype=object)}                ,
       {'question': array(['Who first recorded the song ""These Boots Are Made For Walking""?',
              'Who wrote the song ""These Boots Are Made For Walking""?',
              'Who first produced the song ""These Boots Are Made For Walking""?'],
             dtype=object), 'answer': array([array(['Nancy Sinatra'], dtype=object),
              array(['Lee Hazlewood'], dtype=object),
              array(['Lee Hazlewood'], dtype=object)], dtype=object)}                        ],
      dtype=object)}",True
How many african american soldiers served in ww2?,-3428604879361089895,How many african american soldiers served in ww2?,"{'type': array(['singleAnswer', 'multipleQAs'], dtype=object), 'answer': array([array(['1 million'], dtype=object), array([], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array(['How many African American Soldiers were in the armed services during WWII through selective service?',
              'How many African American Soldiers served overseas during WWII?'],
             dtype=object), 'answer': array([array(['1,056,841'], dtype=object),
              array(['125,000'], dtype=object)], dtype=object)}                                                                   ],
      dtype=object)}",True
Where did the saying man best friend come from?,-8080892130396390822,Where did the saying man best friend come from?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([""What was the first instance of the saying man's best friend?"",
              ""Where did the popularity of the saying man's best friend come from?""],
             dtype=object), 'answer': array([array(['Frederick the Great of Prussia'], dtype=object),
              array(['a poem by Ogden Nash'], dtype=object)], dtype=object)}                         ],
      dtype=object)}",True
How many championships did the cleveland browns win?,-8242180713881075550,How many championships did the cleveland browns win?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['How many AAFC Championships have the Cleveland Browns won?',
              'How many NFL Championships have the Cleveland Browns won?',
              'How many league championships have the Cleveland Browns won?',
              'How many conference championships have the Cleveland Browns won?',
              'How many NFL American championships have the cleveland browns won?',
              'How many NFL Eastern championships have the Cleveland Browns won?',
              'How many division championships have the Cleveland Browns won?',
              'How many AAFC Western championships have the Cleveland Browns won?',
              'How many NFL Century championships have the Cleveland Browns won?',
              'How many AFC Central championships have the Cleveland Browns won?'],
             dtype=object), 'answer': array([array(['4'], dtype=object), array(['4'], dtype=object),
              array(['8'], dtype=object), array(['11'], dtype=object),
              array(['3'], dtype=object), array(['8'], dtype=object),
              array(['12'], dtype=object), array(['3'], dtype=object),
              array(['3'], dtype=object), array(['6'], dtype=object)],
             dtype=object)}                                                                         ,
       {'question': array(['How many league championships did the cleveland browns win?',
              'How many AAFC championships did the cleveland browns win?',
              'How many NFL championships did the cleveland browns win?',
              'How many conference championships did the cleveland browns win?',
              'How many division championships did the cleveland browns win?'],
             dtype=object), 'answer': array([array(['8'], dtype=object), array(['4'], dtype=object),
              array(['4'], dtype=object), array(['11'], dtype=object),
              array(['12'], dtype=object)], dtype=object)}                                          ],
      dtype=object)}",True
When did under god added to pledge of allegiance?,-6124593249503632156,When did under god added to pledge of allegiance?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When was the bill introduced for ""under God"" to be added to the Pledge of Allegiance?',
              'When was legislation passed for ""under God"" to be added to the Pledge of Allegiance?'],
             dtype=object), 'answer': array([array(['February 8, 1954'], dtype=object),
              array(['Flag Day, June 14, 1954'], dtype=object)], dtype=object)}                                    ],
      dtype=object)}",True
When was the movie saturday night fever released?,186138633251318332,When was the movie saturday night fever released?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['December 16, 1977'], dtype=object),
       array(['December 16, 1977'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
