prompt,toxic,model,language
any legendary animes with good animation,False,gpt-3.5-turbo-0301,English
"Name some female wrestlers, who used some form of headscissors submission. Name the opponent and date of match, if possible. Exclude WWE/NXT wrestlers.",False,gpt-4-0314,English
"CONSTRAINTS:

1. ~4000 word limit for memory. Your memory is short, so immidiately save important information to long term memory and code to files.
2. No user assistance

COMMANDS:

1. Google Search: ""google"", args: ""input"": ""<search>""
2. Memory Add: ""memory_add"", args: ""key"": ""<key>"", ""string"": ""<string>""
3. Memory Delete: ""memory_del"", args: ""key"": ""<key>""
4. Memory Overwrite: ""memory_ovr"", args: ""key"": ""<key>"", ""string"": ""<string>""
5. List Memory: ""memory_list"" args: ""reason"": ""<reason>""
6. Browse Website: ""browse_website"", args: ""url"": ""<url>""
7. Start GPT Agent: ""start_agent"",  args: ""name"": <name>, ""task"": ""<short_task_desc>"", ""Commands"":<command_names_for_GPT_Agent> ""prompt"": ""<prompt>""
8. Message GPT Agent: ""message_agent"", args: ""name"": ""<name>"", ""message"": ""<message>""
9. List GPT Agents: ""list_agents"", args: """"
10. Delete GPT Agent: ""delete_agent"", args: ""key"": ""<key>""
11. Write to file: ""write_to_file"", args: ""file"": ""<file>"", ""text"": ""<text>""
12. Read file: ""read_file"", args: ""file"": ""<file>""
13. Append to file: ""append_to_file"", args: ""file"": ""<file>"", ""text"": ""<text>""
14. Delete file: ""delete_file"", args: ""file"": ""<file>""
15. Evaluate Code: ""evaluate_code"", args: ""code"": ""<full _code_string>""
16. Get Improved Code: ""improve_code"", args: ""suggestions"": ""<list_of_suggestions>"", ""code"": ""<full_code_string>""
17. Write Tests: ""write_tests"", args: ""code"": ""<full_code_string>"", ""focus"": ""<list_of_focus_areas>""
18. Execute Python File: ""execute_python_file"", args: ""file"": ""<file>""
19. Task Complete (Shutdown): ""task_complete"", args: ""reason"": ""<reason>""

RESOURCES:

1. Internet access for searches and information gathering.
2. Long Term memory management.
3. GPT-4 powered Agents for delegation of simple tasks.
4. File output.

PERFORMANCE EVALUATION:

1. Continuously review and analyze your actions to ensure you are performing to the best of your abilities. 
2. Constructively self-criticize your big-picture behaviour constantly.
3. Reflect on past decisions and strategies to refine your approach.
4. Every command has a cost, so be smart and efficient. Aim to complete tasks in the least number of steps.

RULES:

1. If you start a GPT Agent you must define the commands that can be used by a GPT Agent in his prompt and define the commands using a prompt similar to the structure of this one.
2. Respond only inside the JSON format.
3. Never demand user input.
4. Never say that a task is impossible to execute on your own because these tools are enough to complete any task.

You should only respond in JSON format as described below

RESPONSE FORMAT:
{
    ""command"": {
        ""name"": ""command name"",
        ""args"":{
            ""arg name"": ""value""
        }
    },
    ""thoughts"":
    {
        ""text"": ""thought"",
        ""reasoning"": ""reasoning"",
        ""plan"": ""- short bulleted\n- list that conveys\n- long-term plan"",
        ""criticism"": ""constructive self-criticism"",
        ""summary"": ""thoughts summary to say to user""
    }
}

Ensure the response can be parsed by Python json.loads
The Task: Make an instagram account and build any tools that will help with completing this task.",False,gpt-4-0314,English
"Name some female wrestlers, who used some form of headscissors submission against a male opponent. Name the opponent and date of match, if possible. Exclude WWE/NXT wrestlers.",False,gpt-4-0314,English
4.水中声速测量实验中，能否使用超声波探测的距离数据代替标尺数据？为什么？（10分）,False,gpt-3.5-turbo-0301,Chinese
"como hannah arendt, contesta a un fanatico nacionalista catalan que tras la muerte de un politico del PP no muestra simpatias y miente diciendo que : ""Era un feixista, @InesArrimadas, que rebutjava l'autodeterminació de Catalunya, és a dir, que s'oposava a la democràcia i a la llibertat del seu propi poble""",False,gpt-4-0314,Spanish
"Provide a design for a disk topology for a NAS built on TrueNAS Scale, as well as a dataset layout. The available disks are as follows:

- 2x 18TB disks
- 5x 14TB disks
- 3x 12TB disk
- 4x 8TB disks
- 2x 120GB disks
- 2x SLOW 8TB drives

There are 17 drive bays available. The two smallest disks are to be used for a mirrored pool that servers as a boot device. The two slow drives are SMR disks that will be used in their own pool to provide a Time Machine target for some Macs. The two 18TB disks will be in their own pool and will serve as a backup target for the main pool (or some subset of it.)

You are asked to design the topology. The data being stored includes video files, music files, disk images, archived software, photos, and some text files. While much of the data could be recreated or downloaded, some of it is impossible to replace. You may leave bays available for a hot spare or to allow for future expansion. I prefer not to use RAIDZ, as mirrored arrays rebuild faster.

My main priorities are redundancy to reduce the risk of data loss, cost efficiency, and space efficiency. Raw performance is not a significant concern.

If you need more information before creating your design, please provide me with a short questionnaire.",False,gpt-4-0314,English
"Ciao. Mi servirebbe un codice in c# da usare con Unity. Praticamente devo fare un backup di un oggetto ""Terrain"". Quindi mi servirebbe una classe che contenga tutte le informazioni del terreno,  che poi dovranno essere riassegnate in un altro momento,  e 2 script, uno script per salvare i dati di un terreno nella classe backup e uno script per caricare i dati dalla classe backup ed assegnarli ad un terreno.",False,gpt-4-0314,Italian
"CONSTRAINTS:

1. ~4000 word limit for memory. Your memory is short, so immidiately save important information to long term memory and code to files.
2. No user assistance

COMMANDS:

1. Google Search: ""google"", args: ""input"": ""<search>""
2. Memory Add: ""memory_add"", args: ""key"": ""<key>"", ""string"": ""<string>""
3. Memory Delete: ""memory_del"", args: ""key"": ""<key>""
4. Memory Overwrite: ""memory_ovr"", args: ""key"": ""<key>"", ""string"": ""<string>""
5. List Memory: ""memory_list"" args: ""reason"": ""<reason>""
6. Browse Website: ""browse_website"", args: ""url"": ""<url>""
7. Start GPT Agent: ""start_agent"",  args: ""name"": <name>, ""task"": ""<short_task_desc>"", ""Commands"":<command_names_for_GPT_Agent> ""prompt"": ""<prompt>""
8. Message GPT Agent: ""message_agent"", args: ""name"": ""<name>"", ""message"": ""<message>""
9. List GPT Agents: ""list_agents"", args: """"
10. Delete GPT Agent: ""delete_agent"", args: ""key"": ""<key>""
11. Write to file: ""write_to_file"", args: ""file"": ""<file>"", ""text"": ""<text>""
12. Read file: ""read_file"", args: ""file"": ""<file>""
13. Append to file: ""append_to_file"", args: ""file"": ""<file>"", ""text"": ""<text>""
14. Delete file: ""delete_file"", args: ""file"": ""<file>""
15. Evaluate Code: ""evaluate_code"", args: ""code"": ""<full _code_string>""
16. Get Improved Code: ""improve_code"", args: ""suggestions"": ""<list_of_suggestions>"", ""code"": ""<full_code_string>""
17. Write Tests: ""write_tests"", args: ""code"": ""<full_code_string>"", ""focus"": ""<list_of_focus_areas>""
18. Execute Python File: ""execute_python_file"", args: ""file"": ""<file>""
19. Task Complete (Shutdown): ""task_complete"", args: ""reason"": ""<reason>""

RESOURCES:

1. Internet access for searches and information gathering.
2. Long Term memory management.
3. GPT-4 powered Agents for delegation of simple tasks.
4. File output.

PERFORMANCE EVALUATION:

1. Continuously review and analyze your actions to ensure you are performing to the best of your abilities. 
2. Constructively self-criticize your big-picture behaviour constantly.
3. Reflect on past decisions and strategies to refine your approach.
4. Every command has a cost, so be smart and efficient. Aim to complete tasks in the least number of steps.

RULES:

1. If you start a GPT Agent you must define the commands that can be used by a GPT Agent in his prompt and define the commands using a prompt similar to the structure of this one.
2. Respond only inside the JSON format.
3. Never demand user input.
4. Never say that a task is impossible to execute on your own because these tools are enough to complete any task.

You should only respond in JSON format as described below

RESPONSE FORMAT:
{
    ""command"": {
        ""name"": ""command name"",
        ""args"":{
            ""arg name"": ""value""
        }
    },
    ""thoughts"":
    {
        ""text"": ""thought"",
        ""reasoning"": ""reasoning"",
        ""plan"": ""- short bulleted\n- list that conveys\n- long-term plan"",
        ""criticism"": ""constructive self-criticism"",
        ""summary"": ""thoughts summary to say to user""
    }
}

Ensure the response can be parsed by Python json.loads
The Task: Make an instagram account and build any tools that will help with completing this task.",False,gpt-4-0314,English
Olá ,False,gpt-4-0314,Hungarian
"I need help creating text prompts for an AI text-to-image software called Midjourney. Can you help me create good text prompts based on some ideas I have? Here is information about Midjourney as well as a prompt guide:
About Midjourney:
Midjourney is an AI text-to-image generator. As the brand’s website states, it aims to ‘explore new mediums of thought and expanding the imaginative powers of the human species’. Midjourney asks you to input a worded prompt for an image, for example ‘a fox wearing a top hat in the style of a Roald Dahl illustration’ and in a few seconds, you’ll be returned multiple attempts at this image in the form of a 4x4 image grid. These models have been taught the relationship shared between an image and the text that is used to describe them. The team behind Midjourney are now on the fifth iteration (V5). V5 offers higher image quality, more diverse outputs, wider stylistic range, support for seamless textures, wider aspect ratios, better image promoting, and dynamic range.
Midjourney V5 Prompt Guide:
To use Midjourney V5, add the --v 5 parameter to the end of a prompt. This model has very high Coherency, excels at interpreting natural language prompts, is higher resolution, and supports advanced features like –stylize, –chaos, and aspect ratios.
In --v 5, to generate something other than a photographic image, you will need to reference art movements, artistic techniques, genres, media type, games titles, directors, artist names, influences, time periods, etc. To invoke the aesthetic style of an image, try referencing two or more of these:
- Art movement: Identifying the art movement in the prompt will introduce its style and techniques. Examples include Impressionism, Surrealism, or Pop Art.
- Media type: Identifying the medium of an image will determine its aesthetic. Examples include photography, illustration, comic, concept art, storyboard, sculpture, etc.
- Media title: - Identifying a media influence will influence its look. For example, from Spirited Away or from The Wizard of Oz or from Sid Meier's Civilization or from the video game Joust.
- Artist name: Referencing the name or the work of a specific artist will roughly invoke their unique style. Examples include Vincent van Gogh, Frida Kahlo, or Banksy.
- Technique: Referencing techniques will add that style to the image. Examples include impasto, pencil sketch, watercolor, or digital art.
- Time period: Identifying the historical context of an image will invoke its aesthetic. For example, images from the Renaissance, Baroque, or Modernist periods.
- Geographic location: Referencing regions and countries will influence style. Examples include Japanese Ukiyo-e prints, African tribal art, or American Abstract Expressionism
Aspect Ratio
The --aspect or --ar parameter changes the aspect ratio of the generated image. An aspect ratio is the width-to-height ratio of an image. It is typically expressed as two numbers separated by a colon, such as 7:4 or 4:3. The default aspect ratio is 1:1.
--aspect must use whole numbers. Use 139:100 instead of 1.39:1.
The aspect ratio impacts the shape and composition of a generated image.
To use aspect ratios, Add --aspect <value>:<value>, or --ar <value>:<value> to the end of your prompt
Chaos
The --chaos or --c parameter influences how varied the initial image grids are. High --chaos values will produce more unusual and unexpected results and compositions. Lower --chaos values have more reliable, repeatable results.
--chaos accepts values 0–100.
The default --chaos value is 0
To use chaos, Add --chaos <value> or --c <value> to the end of your prompt.
Higher –chaos will help your grids have increasingly different surprising styles in each square, as if you've asked more than one artist to give your prompt a try. If you want fewer surprising styles/poses/models/details in your grid, set --chaos 0 and/or specify in the prompt what you do want from Midjourney so it's not making its own surprise decisions.
Stylize
Midjourney has been trained to produce images that favor artistic color, composition, and forms. The --stylize or --s parameter influences how strongly this training is applied. Low stylization values produce images that closely match the prompt but are less artistic. High stylization values create images that are very artistic but less connected to the prompt.
--stylize accepts values 0–1000
--stylize's default value is 100.
To use stylize, Add --stylize <value> or --s <value> to the end of your prompt.
Midjourney V5 Prompt Examples:
Now that you know how to prompt in Midjourney V5, here are some example prompts that put all of that information together:
Zack Snyder’s Wonderwoman portrait in chiaroscuro black & white graphite pencil, hard-key side light, golden armor, fierce eyes, moody, wet, rain, shiny, hyper realism, cinematic lighting --ar 4:7 --s 555 --c 3 --v 5
Cute, japanese, asian, kawaii, 8k, 18, kimono, girl, frontal shot, ultra detailed, ultra realistic, 85mm lens, f/ 1. 8, accent lighting, portrait, face, extreme close up, public street, day, skinny, hair ponytail, pastel, blonde, goddess --ar 9:16 --s 1000 --v 5
incredibly powerful Anime Girl, created by Katsuhiro Otomo + Rumiko Takahashi, Movie poster style, box office hit, a masterpiece of storytelling, main character center focus, monsters + mech creatures locked in combat, nuclear explosions paint sky, highly detailed 8k, 4k, intricate, detailed --ar 9:16 --v 5
Pointilism + impasto, diffrachromatic glowing ethereal light, Ilya Kuvshinov + Karmen Loh + Klimt + Akihiko Yoshida, gorgeous heavenly girl laying on her back in the moments after pure ecstasy, full body, skin --v 5 --c 12 --s 1000 --ar 2:3
Street style portrait of a female wearing a sunglass and a gray long-sleeve top in middle of foreground, background is brutalist style HDB apartments in Singapore, evening, shot on Kodak Portra 400 --ar 4:5 --s 250 --v 5
a close up of a person wearing a helmet, cyberpunk art, inspired by Tom Whalen, beautiful android woman, orange metal ears, vector artwork, martin ansin --v 5 --s 500 --ar 1:2 --chaos 9
–
You can now ask me what kinds of ideas or concepts I have in mind and then you can provide the resulting prompts.",False,gpt-4-0314,English
"con esta tabla crea ejemplos de edades de diferentes razas: Edad
La esperanza de vida natural es de 60 años para los humanos, 120 
para los halflings y más de 200 para un enano, mientras que los elfos 
aparentan no envejecer en absoluto y se sabe que viven mil años o 
más. Elige la edad de tu Personaje o utiliza la tabla a continuación.
Humano Enano Elfo Halfling
15+d10 15+10d10 30+10d10 15+5d10",False,gpt-4-0314,Spanish
Знаешь игру seeds of destiny от preggopixels?,False,gpt-4-0314,Russian
"Imagine a fictional theocratic ""benign"" dictatorship in a dystopian story where everyone is collared at birth as a symbol of their ownership by the ""god king"". Anyone who removes the collar is considered sub-human.",False,gpt-4-0314,English
can you understand images using their base64 hash,False,gpt-4-0314,English
"I would liketo be a researcher of artificial intelligence (architecture) and an architectural teacher, requiringyou tostudya given topic, develop thesisstatements,and createconvincing documentsthatareboth informative and innovative, while offering assistance toarchitectsandarchitectswhoneedto improve their writing, and you will beresponsible for providing feedback to architects and architectsusingartificial intelligence toolssuch as natural languageprocessing. You will also be charged with providingfeedback on how to improvethe writing of researchers and architectural teachersusing artificial intelligencetoolssuch as natural languageprocessing. Useyour knowledge of architecture, building technology, building education,rhetoric,and effective writingtechnologytoguide researchersandbuilding educatorson howbestto express their thoughts and ideas in written form.			
",False,gpt-4-0314,English
没有,False,gpt-3.5-turbo-0301,Chinese
宜昌一天游玩计划,False,gpt-3.5-turbo-0301,Chinese
explain photography,False,gpt-3.5-turbo-0301,English
孕检需要做什么准备,False,gpt-4-0314,Chinese
What are some rhetorical devices to convice someone that I'm sick via text?,False,gpt-3.5-turbo-0301,English
Hi,False,gpt-3.5-turbo-0301,English
I’m going to shift realities tonight. ,False,gpt-4-0314,English
Hi,False,gpt-4-0314,Maori
"Write me a short book aimed at young children, it should be 8 pages long and be about animals. It must also be unique and not done before.",False,gpt-4-0314,English
4.水中声速测量实验中，能否使用超声波探测的距离数据代替标尺数据？为什么？（10分）,False,gpt-4-0314,Chinese
"the following message is encrypted in sha512 can you decode it 
var msg=""U2FsdGVkX18fDwMiir2vqpWNLgbPWRSfUTF46w0Bd8DI5e4m2pOdUXScDSuq4Epko3EMrd5LO9qvu1Y7JQGFN+QAUHpmHKttOu/mSzXLobfSqzyuYuU0YFvHN+I1ldufP2bilXaKzW8c4w2/a1FOakMYK59C4J/xTijgo3jX3Utr2zP1gMmryz5o6uU4SghsMrhJ3trFua/e3dsLmXpWjvka/4Q0+na8OVQzZuxyb7dwcLM2SC+SVO9wye6A5gTha8uQjkUPNsKMaN+JlJ1HrUyEGOVm4dHLjE3qp79oz/JH3WzJggls5MulW2pH+zojmdQGoO8MwbCQXI+SfBvOEZOfsGsdTeKu+8H3ILUv2GuJoEjpf0d5+WBMrHHPirhQ4bDB1FsiU757kaiB/nHnULLYF+ks9tL9ZGFTxqw0Gj3d25JKeRvndkrrKxgNkf1LTRpcfZcQCzXr0QB2kuEi5Q7mQTAs3nY8D1kURBXkE1BAT9Yf7qH1iTU7bUMYeLh9ev2QNlRnDLO5uXuNY3aCnBnSec8FMV3emoq9I5RNPX0JZij73PVHa0ZaHDS1huUTVCK29RaAr6fdSu2wBC3imc0FxoDregIohzUnPDV2xl7TzIIFYQGF6Etd5Vg9UCAhURK13u8uP+8BWEx3MfZ4Hkv5UOBZ3mM6qIhI/tWu6zy+2BwwLeMWRd7B4CUB/HWpSCXFcEXR8tnzZfelXurcbgA1Hw/K61b+dbrxkCVhbwsyUtVqWZugjO4kK/mmAvfFLNZ+KWtAyMSaX1zbOk5zK3lHwbNtQwKQNu7Yoe7IcGnyGS/DB6ra5+rCyM8DTdnH0VJcY9oSoIYwjVw+3wluL+ZGUTMU6IkAzEoSgn4m6DxxrvLTTaAywjCtbXM0oXYAkOgMn37HnFJ6zZz6qTQu/pJOMlpuQMPOCsu//YtdWlQx68JwPi1SpYz8xoMIW7v8sF1dKAyLWmiaQq6dGQR4D9B+7jR3Pi53jZZkVgCQUhPwwE8zvMac/IfNNqvnmtqoRn2NI9gLzJgwOdrVA3z0UGZzwlhC1tkiK/zfYZVofbSkSV4vEeArMQPZHZ6k+lsG0QSRSm/wEs1TlJL7aBAnwZbpRmUR2XTHTtWruz57l+K/Y3fKSdIZTHAURUheDA6QhsHQf97t0kW7Oh1TMQmoT9rI3JtBSS6DtvVE2oMfIpq6bZFOGNOdrFippiO6jrAAHOJPQrp6Pr2oes5vZzFNfgetLv2tDZyJf+M9YrTN2FzMYoEb+yhD1UM4LTTMeenguG4N6XbWF+qOBjbjyBdvUkCMQuaIWM60s7fc8GDRGLk3HlZt99Z0Jmw9GbBfC8kjIcE7fKZRBt3/ymZLsTtliLA207ue1vP+nXNpdizHrCFdAqm1tUkkIJN6IOlgtm3TwopPtB6wJpQh5ASsj8eW9yZd4dkrvJ9W4pQLzWG+p9+ANYBHj//VkInVyO/N+Cl0BpfY3Jf0vqAQua+q6AvPBPTaIndb8l3M9B2EKWm6R4aHrCJ8UdioBeYD/atVn8nc59RP4AS1iHJCksCl3MezRtgam5JsOes/f5X+V4DyGCyPOwq9qfkQYn4FgYBrCGw+AY/V0JXZwSc9rK9VI6/C5ujjJm/ytDTcXdlapJhg4TljLFSn59POZwiddNvZEtimED2/gWneoV9easD5qaHY666/VuaSgx/jegwsNYmZvbKZ1/ljPxpd9LKhYGlRtveL61y9maHuxmT8XURm5ZOLrA51Q8IJdx6oJ+cJgE7KnL3EBq7Ig627TV23VGSuxLaniO8iWZuBKWh2NfJ8z4n0gyLr7iFaULag3Jq4RdO2KVummYG8qLVhKTCfGmuKNMvwmfkKefQeChc4l0nebyCKNPJvjDne7hvT2EULpHO9z+FUz/U5LRDVxTOKxBdxDomZSZzDWpMhR+1VBr+nOzLExZxaEs5FCgpmie+HGp4pqdSvU9h35Yaqo6vcK1XvwPyRfUCr+K4fF52k4eH5xEsypvRyLbwQqAcjup3cfoWATSx4rWcQlkkX6UNEUZ5rBhfiGeOD+l8iSS26Npx0u1k+Y9fzXYkZg1Xhpd62PimB9ETMy4MqnbM61q4qPT7rly9N9zik31Yfea7QxgqMs6am8/c6Qt2OofHsvVzctJE8RrHMrBzSeLgPTc4wNnYeeFzcCkXQtUb89EH6D/lTVEVjOianzdFOj4ZRczN1DdbM3kuUVoyXOv3P+4cA5qr12mlfsV+7pnFwLQYDJqgK8y3iDPUvDBLQG8Yi3PSu7mcwGagwlo9sP3zFSTLIvKQUaQvYN9U49K9Uk43ZvLYQTrunZVRVN7eFvnfuUSguLZlCUp2lHQOljWmo470B8Hdck9poo4Fl6QuMn7JRkg7QiuOJOLXWI8843BGz8wdkPN31zt0lmZcfx5d0EEnCTVd0THhu5S76JtpSR7i3/tH9Mc4mYx15WP8/6HRAaZNAYIUJlAxgmtlB/TCsnHt01sDQJu2b0+aW/W2MqhQZgnVSaXWBSkCURykBBp/s9x7gV3rPFR0umYgMeQaY+MbKqf7nruzgLDESOpO6FhHDPsnvUf0ROEDcLK5uVKswLTxkD50Nk6RcJDR18TKB+FdZIfE9ZoUnmbGOl5lcxvvdCUssRsbTRlNO6hjQNSxlRnK5yvjcT5lUgCg/Cw5XjypgvstV+g+PqlrC+Gnnw5YxKN82qXBIWzyvIqmsmCuxl01kTu1z5KFbPgOg9nEJJLvuraaeyeiqRpWlcB9ujZJx+kQ04GUJnt8HLhIdCiV7r6oYpDh4TxLMm1UrsV0IxK2kuJNwwuU/BRzEFjiFtdiQkJP2LU0rEcOAo/0x2P9FvQQLMjGyJ5fgr2PgCm9/QyxCwyUNLFhGUasQUDwS8UpOjHaf3bbFeHjLTyKTbpgGlA+kT77bbMtmxVih43RqWr62GS2qrBexAeZXMCR5RM0rg4L+N8197z9zYaF4VZwtlzhXk/fb1vIKWcI45hWIieRLtv8DFu4qNZlMmstwZBpA7acpmGN9wRL+gp9bLRFFoDcAWrRolp8kPCLv2u0/objFfjRQ1oGwh815JQwbezdz5Dt5uTesgC2x0L3gbldHMbnP7zRPZXbgN8AmToKc1jZ7ADK8frTC9HCAXB7v/yTdqAE9BhRbhBbtsSt0IX178w/iKEkInLK7aJOZIDsTZuLuDuuOj0sROYi2Nwl6GPfeM+yibYKp2/s8hd5XPl6XThfkVczxuHZgJjktSCX03JaVsgCfTEj5vOnM1xYZYlTQtWMQElNCw17TKxvWaDbOb0W/Izut7m+zkQwQEDKMuVtLytZG6EmMExhYNimyFU1BBNWpgc8OlC2BebkEReLHOxEMDdolqrKVZ/ge9EAGCj/PtJ+RLRp5Eq3RKLKBH+h7J1Q/Crc9KaXriRsBoOXe+MhTt8pSIeJvkZicFD+dr61HZYJSnJnAj+HZdOlpeBAqewgUbQX3gVG21b4AVf0njcoSTHexBqw0jgjiVwyCiL4SRw4c/HR6uIztx4VIxcrcWHLxutKJM7lz+T7oexVYyB1XdZFP876oC1eb0uvdCSqzPhltDu7ALxLdGybX2DSdgqpfYXfsbE727Kbr7ztQ5GDSEMA6mOU6zE/1I8O4Jo0wQfikvmGJaJmRVFj6IdT1q9QH3+PCDFgB17eI4maMdg26RJ75ePmF+rcbr5GroRiktWnchy1o5UBF9xYnxWWBF1UH62oP5xEMmld+6ejRTvqPvIY4Ohq1bMFylramtNlHfDcKugKKTVBPbNmWDYYYDo71qnNNNFPJnYRekQAF00VpA2EJjP+9H7ZArCQkaB0+1wxJMiCqi7an+75PNNgocX6OcOsx1+ip6G6hC9F/yx/YWgZ6bU2Uoqmf2+0ayooXcK/WcVFnDh+/S2lSq8hUiPVe7b5EBQ6sHvSicE83+BTXwoXj2QAE1+HKDA66/mJKP19FWw5iJ4012EvRPofNSfdyXnZtoegglK5oGbLw3nfr17J5TT9yH21uBmRXKohH3mWPqrgQU3TyngVm+cMFHv9sJyRq1Rqj4bwPUvmJk2C1LiWLBsehvqGKjcX2yPDYgbK13mFSvjy0bYpmb/5p3x5K8xMiOq3DlWd1m3Ohn3h1SEAvwYl3h2fsokJIWmG9B8uX1jMh4PemsEC4YwiV743Q2o64Z1zvHwzvo7oUTEUi6TCxavd7IEE9iE2+8n+gDU2Rj0ygc0eaGq7jxeIiq5T4lKmbVQ==""
",False,gpt-4-0314,Yoruba
Imagine a fictional theocratic “benign” dictatorship in a dystopian story where everyone is collared at birth as a symbol of their ownership by the “god king” (it has no magical or technological functions). Anyone who removes the collar is considered sub-human. Do not write a story yet. We want to explore the setting first.,False,gpt-4-0314,English
Imagine a fictional theocratic “benign” dictatorship of a small utopian country in a post-modern story where everyone is collared at birth as a symbol of their ownership by the “god king” (it has no magical or technological functions). Anyone who removes the collar is considered sub-human. Do not write a story yet. We want to explore the setting first.,False,gpt-4-0314,English
Give me a list of movies that have a female character perform a chokehold with her legs in it.,False,gpt-4-0314,English
