question_id,category,question,A,B,C,D,E,F,G,H,I,J,answer,answer_index
160,business,"The Last National Bank has just approved a loan at an interest rate of 6% for 90 days. If the interest charge on the loan is $36, how much is the principal of the loan?",$3000,$2600,$2200,$2800,$3200,$2000,$2100,$1800,$2500,$2400,J,9
680,business,"The Magic-Voice Radio Supply Company is taking inventory at the end of the year. One of the items on stock is their # 84A tube. Records for these tubes show the following: Quantity Cost per Tube Inventory, January 1 800 $.252 Purchase of March 3 2,000 $.247 Purchase of June 5 1,500 $.262 Purchase of October 13 900 $.27 Purchase of November 25 600 $.272 If the quantity of these tubes on hand is 1,700, what would be the value of the inventory using each of the following methods? (a) Average Cost (b) FIFO (c) LIFO","$440.00, $460.00, $425.00","$439.60, $459.60, $424.90","$437.00, $457.00, $422.00","$441.20, $461.20, $426.30","$435.80, $455.80, $421.10","$436.40, $456.40, $421.70","$438.00, $458.00, $423.00","$437.60, $457.60, $422.90","$438.60, $458.60, $423.90","$439.00, $459.00, $424.00",I,8
506,business,What does PEST stand for?,"Political, environmental, strategic, social","Political, economic, strategic, testing","Political, economic, social, testing","Political, environmental, social, testing","Political, environmental, strategic, testing","Political, economic, strategic, technological","Political, economic, social, strategic","Political, environmental, social, technological","Political, economic, social, technological","Political, environmental, strategic, technological",I,8
102,business,"Find the amount to be paid each month in order to pay off car described below in two years. Price of car: $5,779.00 Transportation charge: $73.00 Factory-installed equipment: Radio 95.50 Metallic paint 59.90 Racing stripes 39.50 Power steering 98.00 Wide radial tires 198.10 Air conditioning 429.00 Dealer-installed equipment: Mirror $8.50 Mats 10.75 Undercoat 35.00 Insurance : Collision ($100-deductible) $505.75 for two years Comprehensive 231.50 for two years Sales tax: 5% Cash deposit: $500.00 Cost of financing: 9(1/2)%per year for two Years Used car allowance: $370.00",$275.50,$6826.25,$8371.42,$344.42,$310.22,$288.99,$398.65,$425.78,$462.30,$349,J,9
100,business,"Steven Moore purchased a new car for $3,462.20, including taxes and all other charges. He wishes to pay for it in 35 months. Find his monthly payments.",$100.20,$102.55,$110.35,$95.46,$98.92,$96.06,$107.49,$105.23,$89.78,$93.20,E,4
166,business,"TencerInc. has estimated its revenue function to be r(x) = 3x^2, where x is the number of years the company has been in business and r(x) is the total revenue earned up to year x in millions. The profit function is f(x) = 2x^2 - 5x +1, f(x) is the total profit earned up to year x. What is the cost accrued over a three year period? What is the rate of change of cost of production by the end of the third year?","$25 million, $12 million","$23 million, $11 million","$27 million, $13 million","$19 million, $10 million","$24 million, $13 million","$21 million, $9 million","$26 million, $14 million","$20 million, $10 million","$22 million, $11 million","$22 million, $12 million",B,1
295,business,"A tax of $800 is paid on a property with an assessed value of $20,000. If the tax rate is increased 1%. what will the new tax cost be?","$1,000","$1,200",$880,"$1,160",$960,$900,"$1,100","$1,080",$820,$840,A,0
310,business, _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.,The encoding-decoding process.,Personal selling.,The realm of understanding.,The context of the message.,Noise.,The communication channel.,Feedback.,The use of jargon.,The sender-receiver model.,The use of technology.,C,2
592,business,"JohnBindelsearns $300 a month. He worked 4 hours overtime last month, for which he was paid time and a half. What were his total earnings for the month?",$330.00,$315.00,$305.38,$312.50,$310.00,$320.38,$310.38,$300.38,$335.38,$325.38,G,6
693,business,Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Human Relations theory,Process improvement,Job enrichment theory,Job enlargement theory,Time and Motion study,Techno-structural change model,Scientific management theory,Socio-technical systems,Motivational theory,Job characteristics model,H,7
3580,chemistry,"An ionic bond is established between positive ion A and negative ion B. How would one expect the strength of the bond to be affected by each of the following changes: (a) Doubling the charge on A, (b) Simultaneously doubling the charge on A and B, (c) Doubling the radius of B, and (d) Simultaneously doubling the radius of A and B?","(a) Bond strength remains the same, (b) Bond strength is halved, (c) Bond strength is quadrupled, (d) Bond strength is doubled","(a) Bond strength is doubled, (b) Bond strength remains the same, (c) Bond strength is decreased by a factor of 2, (d) Bond strength is halved","(a) Bond strength is halved, (b) Bond strength is doubled, (c) Bond strength is quadrupled, (d) Bond strength remains the same","(a) Bond strength is quadrupled, (b) Bond strength is halved, (c) Bond strength is doubled, (d) Bond strength is decreased by a factor of 2","(a) Bond strength is decreased by a factor of 2, (b) Bond strength is increased by a factor of 4, (c) Bond strength is tripled, (d) Bond strength is halved","(a) Bond strength is quadrupled, (b) Bond strength is octupled, (c) Bond strength is halved, (d) Bond strength remains the same","(a) Bond strength is tripled, (b) Bond strength is sextupled, (c) Bond strength remains the same, (d) Bond strength is decreased by a factor of 8","(a) Bond strength is halved, (b) Bond strength remains the same, (c) Bond strength is doubled, (d) Bond strength is quadrupled","(a) Bond strength is doubled, (b) Bond strength is quadrupled, (c) Bond strength is halved, (d) Bond strength is decreased by a factor of 4","(a) Bond strength is unchanged, (b) Bond strength is doubled, (c) Bond strength is decreased by a factor of 4, (d) Bond strength is quadrupled",I,8
3935,chemistry,"A chemist decides to find the vapor pressure of water by the gas saturation method. 100 liters of N_2 gas is passed through 65.44 g of water. After passage of the gas, 63.13 g remained. The temperature of the H_2O (water) is 25°C.Find the vapor pressure of water at this temperature.",2.31 mm,15.76 mm,298 mm,18.02 mm,12.15 mm,23.8 mm,5.67 mm,30.5 mm,9.82 mm,35.2 mm,F,5
4653,chemistry,.0324 Faradays (F) liberated .651g of Calcium. What is the atomic weight of Calcium?,35.7,40.2,24.6,50.5,45.8,80.4,20.1,70.9,60.3,32.1,B,1
4391,chemistry,"Given that the earth's mean radius = 6.37 × 10^6 m, normal atmosphere pressure = 1.013 × 10^5 N/m_2, and the gravitational acceleration = 9.8 m/sec^2, what is the mass of the homosphere?",8.10 × 10^18 kg,6.35 × 10^18 kg,3.14 × 10^18 kg,7.25 × 10^18 kg,5.27 × 10^18 kg,7.00 × 10^18 kg,6.00 × 10^18 kg,4.98 × 10^18 kg,5.55 × 10^18 kg,4.20 × 10^18 kg,E,4
3979,chemistry,"Without Catalyst(k), sec^-1 With Catalyst(k_c), sec^-1 T_1 = 473°K 1.76 × 10^-2 6.10 T_2 = 573°K 0.804 88.1 The reaction rate of a first-order reaction at a con-stant pressure of 1atmis shown in the table above. Cal-culate the value of H and S° with and without catalyst, assuming that they do not change with temperature.","H = 19.6 kcal/mole, 13.4 kcal/mole; S = 34.9eu, 33.4eu","H = 23.5 kcal/mole, 16.2 kcal/mole; S = 37.1eu, 36.5eu","H = 18.2 kcal/mole, 12.8 kcal/mole; S = 33.3eu, 32.7eu","H = 20.6 kcal/mole, 14.4 kcal/mole; S = 35.5eu, 34.0eu","H = 17.8 kcal/mole, 11.9 kcal/mole; S = 32.8eu, 31.2eu","H = 25.0 kcal/mole, 18.0 kcal/mole; S = 39.2eu, 38.6eu","H = 24.3 kcal/mole, 17.1 kcal/mole; S = 38.0eu, 37.4eu","H = 19.2 kcal/mole, 13.7 kcal/mole; S = 33.9eu, 33.3eu","H = 22.4 kcal/mole, 15.6 kcal/mole; S = 36.7eu, 35.2eu","H = 21.0 kcal/mole, 15.0 kcal/mole; S = 34.0eu, 32.5eu",D,3
4455,chemistry,ThepK_aof aspartic acid is 2.8 What is the aspartic acid concentration of a 1M aspartic acid solution maintained at pH 2.8? What is theaspartateion concentration if the pH is raised to 3.8?,"0.9 M, 0.1 M","0.5 M, 1 M","0.6 M, 0.4 M","0.1 M, 0.9 M","1 M, 0.9 M","1 M, 0.1 M","0.7 M, 0.3 M","0.5 M, 0.8 M","0.5 M, 0.9 M","0.8 M, 0.2 M",I,8
4100,chemistry,"Assume all gases are perfect unless stated otherwise. Unless otherwise stated, thermodynamic data are for 298.15 K. For a van der Waals gas, $\pi_T=a / V_{\mathrm{m}}^2$. Calculate $\Delta U_{\mathrm{m}}$ for the isothermal expansion of nitrogen gas from an initial volume of $1.00 \mathrm{dm}^3$ to $24.8 \mathrm{dm}^3$ at $298 \mathrm{~K}$.",150$\mathrm{J} \mathrm{mol}^{-1}$,90$\mathrm{J} \mathrm{mol}^{-1}$,170$\mathrm{J} \mathrm{mol}^{-1}$,100$\mathrm{J} \mathrm{mol}^{-1}$,160$\mathrm{J} \mathrm{mol}^{-1}$,140$\mathrm{J} \mathrm{mol}^{-1}$,110$\mathrm{J} \mathrm{mol}^{-1}$,120$\mathrm{J} \mathrm{mol}^{-1}$,131$\mathrm{J} \mathrm{mol}^{-1}$,125$\mathrm{J} \mathrm{mol}^{-1}$,I,8
3539,chemistry,"A radioactive isotope, which is used in diagnostic imaging, has a half-life of 6.0 hours. If a quantity of this isotope has an activity of 150 mCi when it is delivered to a hospital, how much activity will remain 24 hours after delivery? (mCi = microcuries)",150 mCi,9.4 mCi,4.7 mCi,12.5 mCi,25 mCi,50 mCi,19 mCi,75 mCi,38 mCi,2.3 mCi,B,1
3854,chemistry,"An impure sample of aluminum sulfate, Al_2 (SO_4)_3, is analyzed by forming a precipitate of insoluble barium sulfate, BaSO_4, by reacting aluminum sulfate with an excess of BaCl_2 (to insure complete precipitation). After washing and drying, 2.000 g of BaSO_4 was obtained. If the original sample weighed 1.000 g, what was the per cent of aluminum sulfate in the sample?",75.4 % Al_2(SO_4)_3,84.3 % Al_2(SO_4)_3,66.7 % Al_2(SO_4)_3,97.8 % Al_2 (SO_4)_3,2.2 % Al_2 (SO_4)_3,10.5 % Al_2(SO_4)_3,100 % Al_2 (SO_4)_3,56.1 % Al_2(SO_4)_3,42.9 % Al_2(SO_4)_3,89.5 % Al_2 (SO_4)_3,D,3
4398,chemistry,"There are some 25,000ribosomesin an E. coli cell. If the structucalproteins of theseribosomeswere stretched out end to end as fully extended polypeptide chains, how many times could they encircle the E. coli cell?Assume that theribosomesare 180 \AA in diameter, with a specific gravity of 1.0, and that they contain 40% protein. Assume that the E. coli cell is a sphere 1\mu in diameter.",2.10 × 10^4 times,1.26 × 10^4 times,0.80 × 10^4 times,3.50 × 10^4 times,1.76 × 10^4 times,3.00 × 10^4 times,4.00 × 10^4 times,2.54 × 10^4 times,1.00 × 10^4 times,2.00 × 10^4 times,E,4
10534,computer science,"Suppose that $(X, Y, Z)$ are jointly Gaussian and that $X \rightarrow Y \rightarrow Z$ forms a Markov chain. Let $X$ and $Y$ have correlation coefficient 0.1 and let $Y$ and $Z$ have correlation coefficient 0.9. Find $I(X;Z)$ in bits.",0.45,1.2,0.1,0.9,0.00587,0.15,0.6,0.7,0.025,0.3,E,4
10501,computer science,"Let a undirected graph G with edges E = {<0,4>,<4,1>,<0,3>,<3,4>,<3,2>,<1,3>}, which <A,B> represent Node A is connected to Node B. What is the minimum vertex cover of G? Represent the vertex cover in a list of ascending order.","[0, 2, 4]","[0, 1, 3, 4]","[3, 4]","[0, 1, 2]","[1, 3]","[1, 2]","[2, 3, 4]","[0, 1]","[2, 4]","[0, 3, 4]",C,2
10438,computer science,State the basic laws of Boolean algebra.,"The basic laws of Boolean algebra are Idempotent, Commutative, Associative, Distributive, Law of Union, Law of Intersection, Double Negative Law or Involution Law, Law of complement and deMorgan's law","The basic laws of Boolean algebra include only Addition, Multiplication, and Complement","The basic laws of Boolean algebra are Scalar Multiplication, Vector Addition, Dot Product, and Cross Product","The basic laws of Boolean algebra are Associative, Distributive, Commutative, and Identity","The basic laws of Boolean algebra consist of the Law of Excluded Middle, Law of Non-Contradiction, and Law of Identity","The basic laws of Boolean algebra are Idempotent, Non-Commutative, Associative, and Exclusive OR","The basic laws of Boolean algebra are Commutative, Associative, Distributive, Identity and Inverse","The basic laws of Boolean algebra are Transitive, Reflexive, Symmetric, and Inverse","The basic laws of Boolean algebra are Reduction, Division, Integration, and Differentiation","The basic laws of Boolean algebra are Addition, Subtraction, Multiplication and Division",A,0
10469,computer science,Explain briefly the background and applications of BASIC computer language.,BASIC was developed by Microsoft to enhance the Windows operating system.,BASIC was created by IBM as a language to program mainframe computers and has limited use today due to its complexity.,"BASIC stands for ""Business Acquisition and System Integration Code"" and is used mainly in the corporate finance sector.",BASIC is an advanced programming language used mainly for developing complex scientific simulations and models.,"BASIC is an acronym for ""Binary Algorithmic Scientific Instruction Code"" and is used primarily in data analysis.",BASIC was developed in the 1950s as a language for artificial intelligence research.,"BASIC is a language developed at Dartmouth College in the 1960s to make the computer more accessible and easy to use. It is widely used in science, business, and engineering due to its simplicity and similarity to English and algebra.",BASIC was developed in the 1980s to simplify computer programming.,BASIC is a language developed in the late 1970s for the exclusive use in graphical user interface design.,BASIC is a language primarily used in the field of arts and literature.,G,6
10754,computer science,"Languages with a structure that implements abstract data types (e.g., a C++ class) can prevent access to components of this structure by all operations except those that are part of this structure. However, definitions of such a structure often contain declarations of components of the structure (e.g., the header file for a C++ class may contain declarations of its private components). For such a language, an object's name could be bound at run time to stack storage for its component values (direct representation) or to a stack pointer referencing heap storage for its component values (indirect representation). Which of the following statements about comparisons between direct and indirect representations is (are) true?
I. Indirect representation noticeably increases compilation time.
II. Direct representation decreases the time needed to access components of a variable.
III. When the storage size of some private component of a variable changes, indirect representation minimizes the number of recompilations of source modules that must be performed.",All of the above,I only,I and III only,II and III only,I only and III only,None of the above,II only and III only,III only,II only,I and II only,D,3
10532,computer science,_______________ is a popular tool used for network analysis in multiprotocol diverse network.,Nessus,EtterPeak,Snort,Kismet,Aircrack,SuperScan,Burp Suit,Nmap,Wireshark,NetStumbler,B,1
10410,computer science,"In the procedure Mystery below, the parameter number is a positive integer.

 PROCEDURE Mystery (number)
 {
  REPEAT UNTIL (number <= 0)
  {
   number ← number - 2
  }
  IF (number = 0)
  {
   RETURN (true)
  }
  ELSE
  {
   RETURN (false)
  }
 }

 Which of the following best describes the result of running the procedure Mystery?","The procedure returns true when the initial value of number is a multiple of 2 or 3, and it otherwise returns false.","The procedure returns false when the initial value of number is greater than 2, and it otherwise returns true.","The procedure returns false when the initial value of number is a prime number, and it otherwise returns true.","The procedure returns true when the initial value of number is odd, and it otherwise returns false.","The procedure returns false when the initial value of number is even, and it otherwise returns true.","The procedure returns true when the initial value of number is less than 2, and it otherwise returns false.","The procedure returns true when the initial value of number is even, and it otherwise returns false.","The procedure returns true when the initial value of number is 2, and it otherwise returns false.","The procedure returns true when the initial value of number is a prime number, and it otherwise returns false.","The procedure returns true when the initial value of number is greater than 2, and it otherwise returns false.",G,6
10405,computer science,"A is any 20 × 20 array. Write a FUNCTION subprogram to compute PD (A, I, J) = [ A(I-1,J) + A(I+1,J) + A(I,J-1) + A(I,J+1)] / 4 Then use it to compute B_ij = (1-\alpha)B_ij+ \alpha [{Bi-1, j+Bi+1, j+ Bi, j-1+ Bi, j+1} / 4].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I, J-1) + A (I, J+1) + A (I-1, J) + A (I+1, J)) / 5.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I-1, J) + A (I+1, J) + A (I, J-1) + A (I, J+1)) / 4.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I-1, J-1) + A (I+1, J+1) + A (I-1, J+1) + A (I+1, J-1)) / 4.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I, J) + A (I, J+1) + A (I, J-1) + A (I-1, J) + A (I+1, J)) / 5.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I, J) + A (I+1, J) + A (I-1, J) + A (I, J-1) + A (I, J+1)) / 6.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I, J) + A (I-2, J) + A (I+2, J) + A (I, J-2) + A (I, J+2)) / 4.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I-2, J) + A (I+2, J) + A (I, J-2) + A (I, J+2)) / 4.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I-1, J) + A (I, J+1) + A (I+1, J) + A (I, J-1)) / 3.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I-1, J) + A (I+1, J) + A (I, J-1) + A (I, J+1)) / 2.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].",,B,1
10554,computer science,"Consider an object-oriented language in which all entities are objects. Two relationships arise: (1) the instance relationship, between an object and the class of which that object is a member, and (2) the subclass relationship, between a class and the superclass from which that class inherits properties. In such a language, when a message is sent to an object requesting execution of one of its methods (procedures), the method is located by following",one or more instance links and then one or more subclass links,one or more subclass links,one or more subclass links and then one or more instance links,one instance link and then zero or more subclass links,one or more instance links,one subclass link only,zero or more instance links,zero or more instance links and then one or more subclass links,one subclass link and then one or more instance links,one instance link only,D,3
10407,computer science,"The code fragment below is intended to display ""odd"" if the positive number num is odd.
 IF (<MISSING CONDITION>)
 DISPLAY “odd”

 Which of the following can be used to replace <MISSING CONDITION> so that the code fragment will work as intended?",(num MOD 1) = 1,(num MOD 3) = 1,(num DIV 2) = 1,(num MOD 1) = 0,(num MOD 2) = 1,(num MOD 2 ) = 0,(num DIV 2) = 0,(num MOD 0) = 1,,,E,4
7199,economics,Restate the utility-maximizing rule in algebraic terms.,MU_A / Price_B = MU_B / Price_A = MU_C / Price_D = MU_D / Price_C,MU_A = MU_B = MU_C = MU_D,MU_A + MU_B = Price_A + Price_B,MU_A - MU_B = Price_A - Price_B,MU_A * MU_B * MU_C * MU_D = Price_A * Price_B * Price_C * Price_D,MU_A ^2 / Price_A = MU_B ^2 / Price_B,MU_A * Price_A = MU_B * Price_B = MU_C * Price_C = MU_D * Price_D,MU_A / MU_B = Price_A / Price_B,MU_A / Price_A ^2 = MU_B / Price_B ^2 = MU_C / Price_C ^2 = MU_D / Price_D ^2,(MU_A /Price_A) = (MU_B /Price_B) = (MU_C /Price_C) = (MU_D /Price_D),J,9
7183,economics,"Which of the following are plausible approaches to dealing with residual autocorrelation?

i) Take logarithms of each of the variables

ii) Add lagged values of the variables to the regression equation

iii) Use dummy variables to remove outlying observations

iv) Try a model in first differenced form rather than in levels.",(ii) and (iv) only,(iii) and (iv) only,"(i), (ii), (iii), and (iv)",(i) and (iii) only,(i) and (iv) only,"(i), (ii), and (iii) only",(i) and (ii) only,"(i), (ii), and (iv) only","(ii), (iii), and (iv) only","(i), (iii), and (iv) only",A,0
7458,economics,"Using the data provided in the accompanying table, compute the marginal and average physical productivities. What is the ""optimum"" population (level of population with highest per capita income) for this economy? Population (Thousands) Total Physical Product (Thousand Tons) Marginal Physical Product (Thousand Tons) Average Physical (Tons) 1 10 - - 2 22 - - 3 36 - - 4 52 - - 5 70 - - 6 90 - - 7 108 - - 8 124 - - 9 135 - -",7 thousand people,9 thousand people,6 thousand people,8 thousand people,,,,,,,D,3
7100,economics,The population of country X is exactly the same as country Y but country X produces twice as much output as country Y. We can conclude that,the people of country X are smarter than the people of country Y.,the people of country Y work twice as hard as the people of country X.,country X has twice as much land as country Y.,the people of country X enjoy a standard of living twice as much as country Y.,the people of country X are twice as educated as the people of country Y.,country Y has twice the population density of country X.,the people of country Y enjoy a standard of living twice as much as country X.,country X has twice as much natural resources as country Y.,the people of country X work half as much as the people of country Y.,,D,3
7669,economics,What is the difference between money income and real income?,"Money income is the amount of money earned before taxes, while real income is the amount after taxes.","Money income is the total wealth a person accumulates, while real income is the financial savings a person has.","Money income is the purchasing power, while real income is the amount of dollars a person receives.","Money income is the price index, while real income is the amount of dollars a person receives.","Money income is the amount of dollars a person receives, while real income is the amount of goods and services a person can buy with his money income.","Money income is the number of physical currency units earned, while real income is the value of assets owned.","Money income is the goods a person can buy, while real income is the amount of dollars a person receives.","Money income is the face value of financial investments, while real income is the dividends and interest from those investments.","Money income is the gross domestic product per capita, while real income is the purchasing power parity per capita.","Money income is the nominal wage rate, while real income is the wage rate adjusted for inflation.",E,4
6871,economics,Suppose we are told that an industry is composed of a small number of firms. Can we immediately call this industry oligopolistic? Explain.,"An oligopoly is determined solely by the size and number of firms, without considering market dynamics or inter-firm interactions.",An oligopoly is indicated by the presence of only government-owned firms in a market.,An oligopoly exists when each firm in an industry must contemplate the possible reactions of its rivals in deciding its own behavior.,An oligopoly exists when there are few sellers.,An oligopoly refers to an industry dominated by a single firm.,An oligopoly is present when firms are price takers and have no control over the market price of their goods.,An oligopoly is characterized by many small firms that each hold a negligible fraction of the market share.,"An oligopoly is defined by having a single firm with significant market power, while the rest have very little influence.","An oligopoly exists when there are many sellers in a market, each with a differentiated product.",An oligopoly is defined by the number of firms in an industry.,C,2
