question_id,category,question,A,B,C,D,E,F,G,H,I,J,answer,answer_index
3669,chemistry,"A chemist dropped a 200 g object into a tank of water. It displaced 60 ml. of the water when it sunk to the bottom of the tank. In a similar experiment, it displaced only 50 g of an oil into which it was dropped. Calculate the density of the object and the oil.",Density of the object is 3.33 g/ml and the oil is 0.83 g/ml,Density of the object is 4 g/ml and the oil is 0.9 g/ml,Density of the object is 3.33 g/ml and the oil is 1 g/ml,Density of the object is 2.5 g/ml and the oil is 0.75 g/ml,Density of the object is 2.5 g/ml and the oil is 1 g/ml,Density of the object is 4 g/ml and the oil is 0.75 g/ml,Density of the object is 2.5 g/ml and the oil is 0.9 g/ml,Density of the object is 4 g/ml and the oil is 0.83 g/ml,Density of the object is 3.5 g/ml and the oil is 0.9 g/ml,Density of the object is 3.5 g/ml and the oil is 1 g/ml,A,0
3539,chemistry,"A radioactive isotope, which is used in diagnostic imaging, has a half-life of 6.0 hours. If a quantity of this isotope has an activity of 150 mCi when it is delivered to a hospital, how much activity will remain 24 hours after delivery? (mCi = microcuries)",150 mCi,9.4 mCi,4.7 mCi,12.5 mCi,25 mCi,50 mCi,19 mCi,75 mCi,38 mCi,2.3 mCi,B,1
4177,chemistry,"The positron has charge $+e$ and mass equal to the electron mass. Calculate in electronvolts the ground-state energy of positronium-an ""atom"" that consists of a positron and an electron.",-10.0$\mathrm{eV}$,-6.8$\mathrm{eV}$,-5.4$\mathrm{eV}$,-11.0 eV,-4.1 eV,-13.6 eV,-3.4 eV,-9.4 eV,-7.2 eV,-8.2$\mathrm{eV}$,B,1
4454,chemistry,"Even though 1, 3, 5-trinitrobenzene (TNB) has more shattering power (more brisance) and is no more dangerous to handle, 2, 4, 6-trinitrotoluene (TNT) has always been the high ex-plosive in more general use. Can you suggest a reason (connected with manufacture) for the popularity of TNT? (Benzene and toluene are both readily available materials; for many years benzene was cheaper.)","Toluene is more easily nitrated, and therefore more easily polynitrated than benzene.",The nitrating agents required for TNB are less readily available than those needed for TNT.,The production of TNB generates more harmful byproducts compared to TNT.,TNT is more stable than TNB.,Benzene is more easily nitrated than toluene.,The cost of manufacturing TNT is lower.,"TNB is more sensitive to friction and shock, making it less safe to manufacture.",The purification process for TNB is more costly and time-consuming than that for TNT.,The chemical process for synthesizing TNB is more complex and requires higher temperatures than TNT.,"TNB has a shorter shelf life than TNT, making it less suitable for long-term storage.",A,0
3736,chemistry,"Assume all gases are perfect unless stated otherwise. Unless otherwise stated, thermodynamic data are for 298.15 K. A chemical reaction takes place in a container of cross-sectional area $100 \mathrm{~cm}^2$. As a result of the reaction, a piston is pushed out through $10 \mathrm{~cm}$ against an external pressure of $1.0 \mathrm{~atm}$. Calculate the work done by the system.",$-2.0 \times 10^2$$\mathrm{J}$,$-3.0 \times 10^2 \mathrm{J}$,$-1.5 \times 10^2$$\mathrm{J}$,$0.5 \times 10^2 \mathrm{J}$,$-0.5 \times 10^2$$\mathrm{J}$,$2.0 \times 10^2 \mathrm{J}$,$-1.0 \times 10^2$$\mathrm{J}$,$-4.0 \times 10^2 \mathrm{J}$,$1.5 \times 10^2 \mathrm{J}$,$3.0 \times 10^2 \mathrm{J}$,G,6
10378,computer science,"You have just received a Basic Assembler Language programyou ran. As you turn to the execution page to check theprintout, you find that every fourth line of the program reads, for example, PSW =... 00004F17B4C4. What is the PSW and what information does it provide? In addition, what informationis provided in the three lines following the PSW statement?",The three lines following the PSW statement are error codes.,PSW is a password for system protection.,"PSW is a post-system warning that flags potential security breaches, with the subsequent lines listing the affected files.","PSW denotes the Previous Software Version, with the following lines outlining the changes made in the current version.","PSW refers to Processor Status Word, indicating the processor's current tasks. The lines after detail the task queue.","PSW stands for Program Submission Workflow, showing the process flow, while the following lines provide the timestamps of each step completion.","PSW means Program Step Width, representing the step size in memory allocation; the next lines show memory usage statistics.",PSW is a programming language used by the system.,"PSW is the identifier for the program start window, and the following lines are user credentials.","PSW stands for Program Status Word. It contains the value of the location counter, system protection information, and program interrupt status. The three lines following the PSW statement display the contents of the system's registers at the time of interruption.",J,9
10405,computer science,"A is any 20 × 20 array. Write a FUNCTION subprogram to compute PD (A, I, J) = [ A(I-1,J) + A(I+1,J) + A(I,J-1) + A(I,J+1)] / 4 Then use it to compute B_ij = (1-\alpha)B_ij+ \alpha [{Bi-1, j+Bi+1, j+ Bi, j-1+ Bi, j+1} / 4].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I, J-1) + A (I, J+1) + A (I-1, J) + A (I+1, J)) / 5.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I-1, J) + A (I+1, J) + A (I, J-1) + A (I, J+1)) / 4.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I-1, J-1) + A (I+1, J+1) + A (I-1, J+1) + A (I+1, J-1)) / 4.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I, J) + A (I, J+1) + A (I, J-1) + A (I-1, J) + A (I+1, J)) / 5.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I, J) + A (I+1, J) + A (I-1, J) + A (I, J-1) + A (I, J+1)) / 6.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I, J) + A (I-2, J) + A (I+2, J) + A (I, J-2) + A (I, J+2)) / 4.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I-2, J) + A (I+2, J) + A (I, J-2) + A (I, J+2)) / 4.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I-1, J) + A (I, J+1) + A (I+1, J) + A (I, J-1)) / 3.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].","FUNCTION PD (A, I, J) DIMENSION A (20, 20) PD = (A (I-1, J) + A (I+1, J) + A (I, J-1) + A (I, J+1)) / 2.0 RETURN END; B(I, J) = [(1.-ALPHA)*B(I, J) + ALPHA*PD(B, I, J)].",,B,1
10705,computer science,"The elements of a victor V are entered as follows on an APL computer. V \leftarrow 3 4 2 -1. Show what will be displayed as a result of each of the Following statements: a) ×/V,b) \div/V,c) \textasteriskcentered/V d) -/V,e) +/V.","-24, 0.375, 9, 2, 8","-24, 0.375, 81, -6, 8","-24, 2.5, 8, -2, 8","24, -1.5, 9, -2, 8","-24, -1.5, 9, 1, 5","-24, -1.5, 9, 2, 8","24, 2.5, 81, 0, 8","-24, -2, 8, 2, 8","24, 0.375, 81, -6, 8","-20, -1.5, 9, 3, 7",F,5
10431,computer science,"Consider Convolutional Neural Network D2 which takes input images of size 32x32 with 1 colour channels. The first layer of D2 uses 4 filters of size 5x5, a stride of 2, and zero-padding of width 1. Consider CNN D2 which takes input images of size 32x32 with 1 colour channels. The first layer of D2 uses 4 filters of size 5x5, a stride of 2, and zero-padding of width 1. What would be the total size of the flattened output vector from each filter?",35,50,28,40,20,60,15,45,25,30,I,8
10423,computer science,"Say the incidence of a disease D is about 5 cases per 100 people (i.e., P(D) = 0.05). Let Boolean random variable D mean a patient “has disease D” and let Boolean random variable TP stand for ""tests positive."" Tests for disease D are known to be very accurate in the sense that the probability of testing positive when you have the disease is 0.99, and the probability of testing negative when you do not have the disease is 0.97. What is P(D | TP), the posterior probability that you have disease D when the test is positive?",0.0495,0.02,0.05,0.1,0.99,0.635,0.078,0.25,0.97,,F,5
10768,computer science,"A Chord based distributed hash table (DHT) with 25 address space is used in a peer- to-peer file sharing network. There are currently 5 active peers in the network with node ID N3, N8, N15, N19 and N30. Show all the target key (in ascending order, ignore the node's identifier itself) for N3.","[6, 11, 16, 21, 1]","[5, 8, 12, 18, 24]","[1, 2, 3, 4, 5]","[4, 5, 7, 11, 19]","[7, 14, 21, 28, 2]","[4, 6, 9, 17, 22]","[4, 9, 16, 20, 25]","[3, 8, 15, 19, 30]","[8, 15, 19, 30, 3]","[5, 10, 15, 20, 25]",D,3
10366,computer science,"Statement 1| The Stanford Sentiment Treebank contained movie reviews, not book reviews. Statement 2| The Penn Treebank has been used for language modeling.","True, True","False, True","True, False","True, Not Given","False, Not Given","Not Given, True","False, False","Not Given, False","Not Given, Not Given",,A,0
10508,computer science,Let x = 1. What is x << 3 in Python 3?,16,4,8,5,10,2,12,3,1,6,C,2
10580,computer science,"What is the output for the following FORTRAN program? DIMENSION A (8) , PTR (8) DATA A/'A', 'S', 'E', 'Q', 'N', 'U', 'T', '1'/ DATA PTR/4,7,2,6,6,3,0,5/ I = PTR (1) 20IF (I.EQ.0) GO TO 30 WRITE (5,100) A (I) 100FORMAT (1X,A1) I = PTR (I) GO TO 20 30CONTINUE STOP END",UQEST,SQUET,QUTES,QUEST,SEQUT,USEQT,SETQU,TESQU,ETUQS,QUSET,D,3
10655,computer science,Which of the following algorithms has running time Θ(n^2) in the worst case but Θ(n log n) on average?,Counting Sort,Shell Sort,Insertion Sort,Bubblesort,Mergesort,Selection Sort,Bucket Sort,Radix Sort,Quicksort,Heapsort,I,8
7324,economics,"Suppose the market price for corn drops from $1,00per bushel to $.75 per bushel. In reaction to this, the farmers decide to sell one third less corn to the market. Has the supply of corn to the market decrease?",The supply of corn to the market has increased.,"No, the supply of corn to the market has not decreased.","Yes, the supply of corn to the market has decreased.",The supply of corn to the market remained the same.,,,,,,,B,1
7101,economics,One drawback of using fiscal policy to close a recessionary gap is that,unemployment will rise.,taxes will have to be raised.,the equilibrium price level will rise.,government spending on important programs will have to be cut.,,,,,,,C,2
7315,economics,"Which of the following statements are true concerning the Box-Jenkins approach to diagnostic testing for ARMA models?

(i) The tests will show whether the identified model is either too large or too small

(ii) The tests involve checking the model residuals for autocorrelation, heteroscedasticity, and non-normality

(iii) If the model suggested at the identification stage is appropriate, the acf and pacf for the residuals should show no additional structure

(iv) If the model suggested at the identification stage is appropriate, the coefficients on the additional variables under the overfitting approach will be statistically insignificant",(iii) and (iv) only,(i) and (iii) only,"(i), (iii), and (iv) only","(i), (ii), and (iii) only",(ii) and (iii) only,(i) and (iv) only,"(i), (ii), (iii), and (iv)",(ii) and (iv) only,"(ii), (iii), and (iv) only",(i) and (ii) only,H,7
6864,economics,What are the three sources of money creation?,"Central banks, investment banks, insurance companies","Foreign exchange, bonds, mutual funds","Private businesses, government, factories","United States Treasury, Federal Reserve Banks, commercial banks","Commodity markets, sovereign wealth funds, state governments","Peer-to-peer lending, crowd funding platforms, derivative markets","Stock market, real estate, gold","Credit unions, savings and loans, pension funds","Cryptocurrencies, online payment platforms, venture capital","Consumer spending, international trade, public taxation",D,3
7630,economics,The government of a country decides to increase government spending and taxes by the same amount in order to keep a balanced budget. The MPC is 0.75. Which of the following is true of this situation? Policy Direction     Expenditure Multiplier     Tax Multiplier,contractionary     4     -3,expansionary     4     3,expansionary    3    -2,contractionary    5    -3,contractionary    3    -2,expansionary    5    -3,contractionary     4     3,expansionary    5    -4,expansionary     4     -3,contractionary    5    -4,I,8
7143,economics,What is collusion?,A business strategy to maximize profits,A financial arrangement where investors pool their funds for a joint venture,An economic policy that encourages competition among businesses,A marketing technique,A partnership where two companies legally share resources and profits,An informal agreement between employees to improve workplace conditions,A legal framework for merging two or more companies into a single corporate entity,A legal agreement between companies,The practice whereby several firms get together and secretly agree upon how their market should be divided or what prices should be charged.,A government policy to regulate monopolies,I,8
7182,economics,Which one of the following statements best describes the algebraic representation of the fitted regression line?,\hat{y}_t = \hat{\alpha} + \hat{\beta}x_t^2 + \hat{u}_t,\hat{y}_t = \hat{\alpha} + \hat{\beta}x_t + u_t,\hat{y}_t = \hat{\alpha}x_t + \hat{\beta}x_t,y_t = \hat{\alpha} + \hat{\beta}x_t + \hat{u}_t,\hat{y}_t = \hat{\alpha} + \hat{\beta},\hat{y}_t = \hat{\alpha} + \hat{\beta}x_t,y_t = \hat{\alpha} + \hat{\beta}x_t,\hat{y}_t = \hat{\alpha} + \hat{\beta}x_t + \hat{u}_t,y_t = \hat{\alpha} + \hat{\beta}x_t + u_t,\hat{y}_t = \hat{\alpha} + \hat{\beta}x_t + \hat{u}_t + \hat{v}_t,F,5
7373,economics,Which of the following statements is TRUE concerning the standard regression model?,y has a probability distribution,x has a probability distribution,The disturbance term is assumed to be correlated with x,"For an adequate model, the residual (u-hat) will be zero for all sample data points",,,,,,,A,0
7663,economics,"The following data provides a ""real-world"" illustration of adjusting GNP for changes in the price level (selected years, in billions of dollars). (1)(2)(3)(4) YearMoney, orPrice levelAdjusted unadjusted GNPindex, percentGNP 1946$ 209.644.06? 1951330.257.27? 1958448.966.06? 1964635.772.71? 1968868.582.57? 19721,171.5100.00? 19741,406.9116.20? 19751,498.9126.37? Determine the adjusted GNP for each year.","1946: $209.6, 1951: $576.6, 1958: $679.5, 1964: $874.3, 1968: $1,051.8, 1972: $1,406.9, 1974: $1,210.8, 1975: $1,186.1","1946: $440.6, 1951: $572.7, 1958: $660.6, 1964: $727.1, 1968: $825.7, 1972: $1,000.0, 1974: $1,162.0, 1975: $1,263.7","1946: $475.7, 1951: $576.6, 1958: $679.5, 1964: $874.3, 1968: $1,051.8, 1972: $1,171.1, 1974: $1,210.8, 1975: $1,186.1","1946: $209.6, 1951: $330.2, 1958: $448.9, 1964: $635.7, 1968: $868.5, 1972: $1,171.1, 1974: $1,406.9, 1975: $1,498.9",,,,,,,C,2
7330,economics,Define pure competition.,Pure competition is when there are few buyers and sellers.,"Pure competition occurs in markets where barriers to entry are high, preventing new firms from entering.",Pure competition is a market structure where a single buyer dictates the terms to multiple sellers.,Pure competition is when a single firm dominates the market.,Pure competition happens when firms can charge different prices without losing customers.,"Pure competition involves only a handful of firms, each with significant control over the market price.",Pure competition exists when all firms in the market are price setters and can influence the market price.,"Pure competition is characterized by product differentiation, where each firm offers a unique product to the market.","Pure competition is when there are numerous buyers and only one seller, who sets the price for a unique product.","Pure competition occurs in a market with numerous buyers and sellers exchanging a homogenous product, and with free entry into the market.",J,9
11498,engineering,"For the zero-memory information source described by the table, find the average length (L_avg) of binary code needed to encode the symbols. Source symbol Symbol probability P_i s_1 (1 / 4) s_2 (1 / 4) s_3 (1 / 4) s_4 (1 / 4)",2 bits/symbol,2.2 bits/symbol,3.2 bits/symbol,1.5 bits/symbol,3 bits/symbol,1.75 bits/symbol,1 bit/symbol,4 bits/symbol,2.5 bits/symbol,3.5 bits/symbol,A,0
